Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2026-02-02,Lat Pulldown,Back,80.0,lbs,6,,,
2026-02-02,Seated Machine Fly,Chest,108.0,lbs,10,,,
2026-02-02,Seated Machine Fly,Chest,108.0,lbs,8,,,
2026-02-02,Barbell Row,Back,95.0,lbs,6,,,
2026-02-02,Barbell Row,Back,85.0,lbs,8,,,
2026-02-02,Barbell Row,Back,75.0,lbs,10,,,
2026-02-02,Barbell Row,Back,75.0,lbs,11,,,
2026-02-03,Hack Squat,Legs,20.0,lbs,11,,,
2026-02-03,Hack Squat,Legs,20.0,lbs,8,,,
2026-02-03,Hack Squat,Legs,20.0,lbs,5,,,
2026-02-03,Lying Leg Curl Machine,Legs,60.0,lbs,12,,,
2026-02-03,Lying Leg Curl Machine,Legs,50.0,lbs,12,,,
2026-02-03,Hack Squat,Legs,20.0,lbs,4,,,
2026-02-03,Lying Leg Curl Machine,Legs,50.0,lbs,12,,,
2026-02-04,Converging Shoulder Press,Shoulders,50.0,lbs,12,,,
2026-02-04,Converging Shoulder Press,Shoulders,60.0,lbs,11,,,
2026-02-04,Converging Shoulder Press,Shoulders,60.0,lbs,7,,,
2026-02-04,Converging Shoulder Press,Shoulders,60.0,lbs,6,,,
2026-02-04,Seated Low Row,Back,70.0,lbs,10,,,
2026-02-04,Seated Low Row,Back,70.0,lbs,11,,,
2026-02-04,Seated Low Row,Back,70.0,lbs,9,,,
2026-02-04,Laterial Raise Machine,Shoulders,40.0,lbs,12,,,
2026-02-04,Laterial Raise Machine,Shoulders,40.0,lbs,11,,,
2026-02-04,Laterial Raise Machine,Shoulders,40.0,lbs,8,,,
2026-02-10,Flat Barbell Bench Press,Chest,90.0,lbs,12,,,
2026-02-10,Flat Barbell Bench Press,Chest,90.0,lbs,11,,,
2026-02-10,Flat Barbell Bench Press,Chest,90.0,lbs,7,,,
2026-02-10,Flat Barbell Bench Press,Chest,90.0,lbs,6,,,
2026-02-10,Lat Pulldown,Back,90.0,lbs,6,,,
2026-02-10,Lat Pulldown,Back,90.0,lbs,8,,,
2026-02-10,Lat Pulldown,Back,80.0,lbs,6,,,
2026-02-10,Seated Machine Fly,Chest,108.0,lbs,10,,,
2026-02-10,Seated Machine Fly,Chest,108.0,lbs,8,,,
2026-02-10,Barbell Row,Back,75.0,lbs,12,,,
2026-02-10,Barbell Row,Back,85.0,lbs,8,,,
2026-02-10,Barbell Row,Back,75.0,lbs,10,,,
2026-02-10,Barbell Row,Back,75.0,lbs,11,,,
2026-03-28,Dumbbell Hammer Curl,Biceps,15.0,lbs,15,,,
2026-03-28,Dumbbell Hammer Curl,Biceps,15.0,lbs,15,,,
2026-03-28,Dumbbell Hammer Curl,Biceps,15.0,lbs,15,,,
2026-03-28,Crunch Machine,Abs,85.0,lbs,12,,,
2026-03-28,Crunch Machine,Abs,85.0,lbs,12,,,
2026-04-23,Side Plank,Abs,55.0,lbs,,,,0:00:00
